id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away,winner
91,2009,East London,08-05-2009,MI,DD,MI,bat,Buffalo Park,110.2307692,93.26666667,13,15,1433,1399,away
92,2009,Kimberley,09-05-2009,DC,KXIP,KXIP,field,De Beers Diamond Oval,107.375,89.78571429,16,14,1718,1257,away
93,2009,Kimberley,09-05-2009,RR,CSK,RR,bat,De Beers Diamond Oval,91.61538462,110.7142857,13,14,1191,1550,away
94,2009,Port Elizabeth,10-05-2009,MI,RCB,MI,bat,St George's Park,110.2307692,91.3125,13,16,1433,1461,home
95,2009,Johannesburg,10-05-2009,KKR,DD,DD,field,New Wanderers Stadium,83.92307692,93.26666667,13,15,1091,1399,away
96,2009,Kimberley,11-05-2009,DC,RR,DC,bat,De Beers Diamond Oval,107.375,91.61538462,16,13,1718,1191,home
97,2009,Centurion,12-05-2009,KKR,RCB,RCB,field,SuperSport Park,83.92307692,91.3125,13,16,1091,1461,away
98,2009,Centurion,12-05-2009,KXIP,MI,KXIP,bat,SuperSport Park,89.78571429,110.2307692,14,13,1257,1433,away
99,2009,Durban,13-05-2009,DD,DC,DC,field,Kingsmead,93.26666667,107.375,15,16,1399,1718,home
100,2009,Durban,14-05-2009,CSK,RCB,CSK,bat,Kingsmead,110.7142857,91.3125,14,16,1550,1461,away
101,2009,Durban,14-05-2009,RR,MI,RR,bat,Kingsmead,91.61538462,110.2307692,13,13,1191,1433,home
102,2009,Bloemfontein,15-05-2009,DD,KXIP,KXIP,field,OUTsurance Oval,93.26666667,89.78571429,15,14,1399,1257,away
103,2009,Port Elizabeth,16-05-2009,MI,CSK,MI,bat,St George's Park,110.2307692,110.7142857,13,14,1433,1550,away
104,2009,Johannesburg,16-05-2009,KKR,DC,DC,field,New Wanderers Stadium,83.92307692,107.375,13,16,1091,1718,away
105,2009,Johannesburg,17-05-2009,KXIP,DC,DC,field,New Wanderers Stadium,89.78571429,107.375,14,16,1257,1718,home
106,2009,Bloemfontein,17-05-2009,DD,RR,DD,bat,OUTsurance Oval,93.26666667,91.61538462,15,13,1399,1191,home
107,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,SuperSport Park,110.7142857,83.92307692,14,13,1550,1091,away
108,2009,Johannesburg,19-05-2009,DD,RCB,DD,bat,New Wanderers Stadium,93.26666667,91.3125,15,16,1399,1461,away
109,2009,Durban,20-05-2009,RR,KKR,KKR,field,Kingsmead,91.61538462,83.92307692,13,13,1191,1091,away
110,2009,Durban,20-05-2009,CSK,KXIP,CSK,bat,Kingsmead,110.7142857,89.78571429,14,14,1550,1257,home
111,2009,Centurion,21-05-2009,MI,DD,DD,field,SuperSport Park,110.2307692,93.26666667,13,15,1433,1399,away
112,2009,Centurion,21-05-2009,RCB,DC,RCB,bat,SuperSport Park,91.3125,107.375,16,16,1461,1718,home
113,2009,Centurion,22-05-2009,DD,DC,DC,field,SuperSport Park,93.26666667,107.375,15,16,1399,1718,away
114,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,New Wanderers Stadium,110.7142857,91.3125,14,16,1550,1461,away
115,2009,Johannesburg,24-05-2009,DC,RCB,RCB,field,New Wanderers Stadium,107.375,91.3125,16,16,1718,1461,home
116,2010,Mumbai,12-03-2010,KKR,DC,DC,field,Dr DY Patil Sports Academy,87.28571429,105.875,14,16,1222,1694,home
117,2010,Mumbai,13-03-2010,MI,RR,MI,bat,Brabourne Stadium,105.125,95.64285714,16,14,1682,1339,home
118,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,"Punjab Cricket Association Stadium, Mohali",102.3571429,93.85714286,14,14,1433,1314,away
119,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,Eden Gardens,112.625,87.28571429,16,14,1802,1222,away
120,2010,Chennai,14-03-2010,DC,CSK,DC,bat,"MA Chidambaram Stadium, Chepauk",105.875,114.125,16,16,1694,1826,home
121,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,"Sardar Patel Stadium, Motera",95.64285714,93.85714286,14,14,1339,1314,away
122,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,M Chinnaswamy Stadium,102.3571429,112.625,14,16,1433,1802,away
123,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,Eden Gardens,114.125,87.28571429,16,14,1826,1222,home
124,2010,Delhi,17-03-2010,MI,DD,DD,field,Feroz Shah Kotla,105.125,93.85714286,16,14,1682,1314,home
125,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,M Chinnaswamy Stadium,95.64285714,112.625,14,16,1339,1802,away
126,2010,Delhi,19-03-2010,DD,CSK,DD,bat,Feroz Shah Kotla,93.85714286,114.125,14,16,1314,1826,away
127,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,Barabati Stadium,105.875,102.3571429,16,14,1694,1433,home
128,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,"Sardar Patel Stadium, Motera",95.64285714,87.28571429,14,14,1339,1222,home
129,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,Brabourne Stadium,105.125,112.625,16,16,1682,1802,away
130,2010,Cuttack,21-03-2010,DC,DD,DC,bat,Barabati Stadium,105.875,93.85714286,16,14,1694,1314,home
131,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,"MA Chidambaram Stadium, Chepauk",102.3571429,114.125,14,16,1433,1826,home
132,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,Brabourne Stadium,87.28571429,105.125,14,16,1222,1682,away
133,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,M Chinnaswamy Stadium,112.625,114.125,16,16,1802,1826,home
134,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",95.64285714,102.3571429,14,14,1339,1433,home
135,2010,Mumbai,25-03-2010,CSK,MI,MI,field,Brabourne Stadium,114.125,105.125,16,16,1826,1682,away
136,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,"Sardar Patel Stadium, Motera",105.875,95.64285714,16,14,1694,1339,away
137,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,"Punjab Cricket Association Stadium, Mohali",87.28571429,102.3571429,14,14,1222,1433,home
138,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,M Chinnaswamy Stadium,93.85714286,112.625,14,16,1314,1802,home
139,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,"Sardar Patel Stadium, Motera",95.64285714,114.125,14,16,1339,1826,home
140,2010,Mumbai,28-03-2010,MI,DC,DC,field,Dr DY Patil Sports Academy,105.125,105.875,16,16,1682,1694,home
141,2010,Delhi,29-03-2010,DD,KKR,DD,bat,Feroz Shah Kotla,93.85714286,87.28571429,14,14,1314,1222,home
142,2010,Mumbai,30-03-2010,KXIP,MI,MI,field,Brabourne Stadium,102.3571429,105.125,14,16,1433,1682,away
143,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",112.625,114.125,16,16,1802,1826,away
144,2010,Delhi,31-03-2010,DD,RR,DD,bat,Feroz Shah Kotla,93.85714286,95.64285714,14,14,1314,1339,home
145,2010,Kolkata,01-04-2010,KKR,DC,KKR,bat,Eden Gardens,87.28571429,105.875,14,16,1222,1694,home
146,2010,Chandigarh,02-04-2010,KXIP,RCB,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",102.3571429,112.625,14,16,1433,1802,away
147,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,"MA Chidambaram Stadium, Chepauk",114.125,95.64285714,16,14,1826,1339,home
148,2010,Mumbai,03-04-2010,MI,DC,MI,bat,Brabourne Stadium,105.125,105.875,16,16,1682,1694,home
149,2010,Kolkata,04-04-2010,KKR,KXIP,KKR,bat,Eden Gardens,87.28571429,102.3571429,14,14,1222,1433,away
150,2010,Delhi,04-04-2010,DD,RCB,DD,bat,Feroz Shah Kotla,93.85714286,112.625,14,16,1314,1802,home
151,2010,Nagpur,05-04-2010,RR,DC,RR,bat,"Vidarbha Cricket Association Stadium, Jamtha",95.64285714,105.875,14,16,1339,1694,home
152,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chepauk",114.125,105.125,16,16,1826,1682,home
153,2010,Jaipur,07-04-2010,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,102.3571429,95.64285714,14,14,1433,1339,away
154,2010,Kolkata,07-04-2010,KKR,DD,KKR,bat,Eden Gardens,87.28571429,93.85714286,14,14,1222,1314,home
155,2010,Bangalore,08-04-2010,RCB,DC,DC,field,M Chinnaswamy Stadium,112.625,105.875,16,16,1802,1694,away
156,2010,Chandigarh,09-04-2010,MI,KXIP,MI,bat,"Punjab Cricket Association Stadium, Mohali",105.125,102.3571429,16,14,1682,1433,away
157,2010,Nagpur,10-04-2010,CSK,DC,CSK,bat,"Vidarbha Cricket Association Stadium, Jamtha",114.125,105.875,16,16,1826,1694,away
158,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,M Chinnaswamy Stadium,87.28571429,112.625,14,16,1222,1802,away
159,2010,Delhi,11-04-2010,DD,KXIP,DD,bat,Feroz Shah Kotla,93.85714286,102.3571429,14,14,1314,1433,away
160,2010,Jaipur,11-04-2010,MI,RR,RR,field,Sawai Mansingh Stadium,105.125,95.64285714,16,14,1682,1339,home
161,2010,Nagpur,12-04-2010,DC,RCB,RCB,field,"Vidarbha Cricket Association Stadium, Jamtha",105.875,112.625,16,16,1694,1802,home
162,2010,Mumbai,13-04-2010,MI,DD,MI,bat,Brabourne Stadium,105.125,93.85714286,16,14,1682,1314,home
163,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",87.28571429,114.125,14,16,1222,1826,away
164,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,Sawai Mansingh Stadium,95.64285714,112.625,14,16,1339,1802,away
165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",114.125,93.85714286,16,14,1826,1314,away
166,2010,Dharamsala,16-04-2010,KXIP,DC,DC,field,Himachal Pradesh Cricket Association Stadium,102.3571429,105.875,14,16,1433,1694,away
167,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,M Chinnaswamy Stadium,105.125,112.625,16,16,1682,1802,home
168,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,Eden Gardens,95.64285714,87.28571429,14,14,1339,1222,away
169,2010,Dharamsala,18-04-2010,KXIP,CSK,CSK,field,Himachal Pradesh Cricket Association Stadium,102.3571429,114.125,14,16,1433,1826,away
170,2010,Delhi,18-04-2010,DC,DD,DC,bat,Feroz Shah Kotla,105.875,93.85714286,16,14,1694,1314,home
171,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,Eden Gardens,105.125,87.28571429,16,14,1682,1222,away
172,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,Dr DY Patil Sports Academy,105.125,112.625,16,16,1682,1802,home
173,2010,Mumbai,22-04-2010,CSK,DC,CSK,bat,Dr DY Patil Sports Academy,114.125,105.875,16,16,1826,1694,home
174,2010,Mumbai,24-04-2010,DC,RCB,DC,bat,Dr DY Patil Sports Academy,105.875,112.625,16,16,1694,1802,away
175,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,Dr DY Patil Sports Academy,114.125,105.125,16,16,1826,1682,home
176,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chepauk",110.8125,102.7333333,16,15,1773,1541,home
177,2011,Hyderabad,09-04-2011,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",115.5,91.38461538,14,13,1617,1188,away
178,2011,Kochi,09-04-2011,KTK,RCB,KTK,bat,Nehru Stadium,95.57142857,108.5625,14,16,1338,1737,away
179,2011,Delhi,10-04-2011,DD,MI,DD,bat,Feroz Shah Kotla,96.42857143,101.125,14,16,1350,1618,away
180,2011,Mumbai,10-04-2011,KXIP,PW,KXIP,bat,Dr DY Patil Sports Academy,116,93.35714286,14,14,1624,1307,away
181,2011,Kolkata,11-04-2011,KKR,DC,KKR,bat,Eden Gardens,102.7333333,115.5,15,14,1541,1617,home
182,2011,Jaipur,12-04-2011,DD,RR,DD,bat,Sawai Mansingh Stadium,96.42857143,91.38461538,14,13,1350,1188,away
183,2011,Bangalore,12-04-2011,RCB,MI,MI,field,M Chinnaswamy Stadium,108.5625,101.125,16,16,1737,1618,away
184,2011,Chandigarh,13-04-2011,CSK,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",110.8125,116,16,14,1773,1624,away
185,2011,Mumbai,13-04-2011,KTK,PW,KTK,bat,Dr DY Patil Sports Academy,95.57142857,93.35714286,14,14,1338,1307,away
186,2011,Hyderabad,14-04-2011,DC,RCB,RCB,field,"Rajiv Gandhi International Stadium, Uppal",115.5,108.5625,14,16,1617,1737,home
187,2011,Jaipur,15-04-2011,RR,KKR,KKR,field,Sawai Mansingh Stadium,91.38461538,102.7333333,13,15,1188,1541,away
188,2011,Mumbai,15-04-2011,MI,KTK,KTK,field,Wankhede Stadium,101.125,95.57142857,16,14,1618,1338,away
189,2011,Chennai,16-04-2011,CSK,RCB,CSK,bat,"MA Chidambaram Stadium, Chepauk",110.8125,108.5625,16,16,1773,1737,home
190,2011,Hyderabad,16-04-2011,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",115.5,116,14,14,1617,1624,away
191,2011,Mumbai,17-04-2011,PW,DD,DD,field,Dr DY Patil Sports Academy,93.35714286,96.42857143,14,14,1307,1350,away
192,2011,Kolkata,17-04-2011,RR,KKR,KKR,field,Eden Gardens,91.38461538,102.7333333,13,15,1188,1541,away
193,2011,Kochi,18-04-2011,CSK,KTK,KTK,field,Nehru Stadium,110.8125,95.57142857,16,14,1773,1338,away
194,2011,Delhi,19-04-2011,DC,DD,DC,bat,Feroz Shah Kotla,115.5,96.42857143,14,14,1617,1350,home
195,2011,Mumbai,20-04-2011,PW,MI,PW,bat,Wankhede Stadium,93.35714286,101.125,14,16,1307,1618,away
196,2011,Kolkata,20-04-2011,KTK,KKR,KKR,field,Eden Gardens,95.57142857,102.7333333,14,15,1338,1541,home
197,2011,Chandigarh,21-04-2011,KXIP,RR,RR,field,"Punjab Cricket Association Stadium, Mohali",116,91.38461538,14,13,1624,1188,home
198,2011,Mumbai,22-04-2011,MI,CSK,CSK,field,Wankhede Stadium,101.125,110.8125,16,16,1618,1773,home
199,2011,Kolkata,22-04-2011,KKR,RCB,RCB,field,Eden Gardens,102.7333333,108.5625,15,16,1541,1737,away
200,2011,Delhi,23-04-2011,DD,KXIP,KXIP,field,Feroz Shah Kotla,96.42857143,116,14,14,1350,1624,home
201,2011,Hyderabad,24-04-2011,MI,DC,DC,field,"Rajiv Gandhi International Stadium, Uppal",101.125,115.5,16,14,1618,1617,home
202,2011,Jaipur,24-04-2011,KTK,RR,RR,field,Sawai Mansingh Stadium,95.57142857,91.38461538,14,13,1338,1188,away
203,2011,Chennai,25-04-2011,CSK,PW,PW,field,"MA Chidambaram Stadium, Chepauk",110.8125,93.35714286,16,14,1773,1307,home
204,2011,Delhi,26-04-2011,DD,RCB,RCB,field,Feroz Shah Kotla,96.42857143,108.5625,14,16,1350,1737,away
205,2011,Mumbai,27-04-2011,PW,CSK,PW,bat,Dr DY Patil Sports Academy,93.35714286,110.8125,14,16,1307,1773,away
206,2011,Kochi,27-04-2011,DC,KTK,KTK,field,Nehru Stadium,115.5,95.57142857,14,14,1617,1338,home
207,2011,Delhi,28-04-2011,KKR,DD,DD,field,Feroz Shah Kotla,102.7333333,96.42857143,15,14,1541,1350,home
208,2011,Jaipur,29-04-2011,MI,RR,RR,field,Sawai Mansingh Stadium,101.125,91.38461538,16,13,1618,1188,away
