,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
74,75,2009,Durban,29-04-2009,KKR,RCB,KKR,bat,Kingsmead,RCB,0,0,13,16,0,0
75,76,2009,Durban,29-04-2009,KXIP,MI,KXIP,bat,Kingsmead,KXIP,0,0,14,13,0,0
76,77,2009,Centurion,30-04-2009,DC,DD,DD,field,SuperSport Park,DD,0,0,16,15,0,0
77,78,2009,Centurion,30-04-2009,CSK,RR,RR,field,SuperSport Park,CSK,0,0,14,13,0,0
78,79,2009,East London,01-05-2009,MI,KKR,MI,bat,Buffalo Park,MI,0,0,13,13,0,0
79,80,2009,Durban,01-05-2009,RCB,KXIP,RCB,bat,Kingsmead,RCB,0,0,16,14,0,0
80,81,2009,Port Elizabeth,02-05-2009,DC,RR,DC,bat,St George's Park,RR,0,0,16,13,0,0
81,82,2009,Johannesburg,02-05-2009,CSK,DD,DD,field,New Wanderers Stadium,CSK,0,0,14,15,0,0
82,83,2009,Port Elizabeth,03-05-2009,KKR,KXIP,KKR,bat,St George's Park,KXIP,0,0,13,14,0,0
83,84,2009,Johannesburg,03-05-2009,MI,RCB,MI,bat,New Wanderers Stadium,RCB,0,0,13,16,0,0
84,85,2009,East London,04-05-2009,CSK,DC,CSK,bat,Buffalo Park,CSK,0,0,14,16,0,0
85,86,2009,Durban,05-05-2009,RR,KXIP,KXIP,field,Kingsmead,RR,0,0,13,14,0,0
86,87,2009,Durban,05-05-2009,KKR,DD,KKR,bat,Kingsmead,DD,0,0,13,15,0,0
87,88,2009,Centurion,06-05-2009,DC,MI,DC,bat,SuperSport Park,DC,0,0,16,13,0,0
88,89,2009,Centurion,07-05-2009,RCB,RR,RR,field,SuperSport Park,RR,0,0,16,13,0,0
89,90,2009,Centurion,07-05-2009,CSK,KXIP,CSK,bat,SuperSport Park,CSK,0,0,14,14,0,0
90,91,2009,East London,08-05-2009,MI,DD,MI,bat,Buffalo Park,DD,0,0,13,15,0,0
