id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
164,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,Sawai Mansingh Stadium,RCB,0,0,0,0,0,0
165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,0,0,0,0,0,0
166,2010,Dharamsala,16-04-2010,KXIP,DC,DC,field,Himachal Pradesh Cricket Association Stadium,DC,0,0,0,0,0,0
167,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,M Chinnaswamy Stadium,MI,0,0,0,0,0,0
168,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,Eden Gardens,KKR,0,0,0,0,0,0
169,2010,Dharamsala,18-04-2010,KXIP,CSK,CSK,field,Himachal Pradesh Cricket Association Stadium,CSK,0,0,0,0,0,0
170,2010,Delhi,18-04-2010,DC,DD,DC,bat,Feroz Shah Kotla,DC,0,0,0,0,0,0
171,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,Eden Gardens,KKR,0,0,0,0,0,0
172,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,Dr DY Patil Sports Academy,MI,0,0,0,0,0,0
173,2010,Mumbai,22-04-2010,CSK,DC,CSK,bat,Dr DY Patil Sports Academy,CSK,0,0,0,0,0,0
174,2010,Mumbai,24-04-2010,DC,RCB,DC,bat,Dr DY Patil Sports Academy,RCB,0,0,0,0,0,0
175,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,Dr DY Patil Sports Academy,CSK,0,0,0,0,0,0
176,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
177,2011,Hyderabad,09-04-2011,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",RR,0,0,0,0,0,0
178,2011,Kochi,09-04-2011,KTK,RCB,KTK,bat,Nehru Stadium,RCB,0,0,0,0,0,0
179,2011,Delhi,10-04-2011,DD,MI,DD,bat,Feroz Shah Kotla,MI,0,0,0,0,0,0
180,2011,Mumbai,10-04-2011,KXIP,PW,KXIP,bat,Dr DY Patil Sports Academy,PW,0,0,0,0,0,0
181,2011,Kolkata,11-04-2011,KKR,DC,KKR,bat,Eden Gardens,KKR,0,0,0,0,0,0
182,2011,Jaipur,12-04-2011,DD,RR,DD,bat,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
183,2011,Bangalore,12-04-2011,RCB,MI,MI,field,M Chinnaswamy Stadium,MI,0,0,0,0,0,0
184,2011,Chandigarh,13-04-2011,CSK,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
185,2011,Mumbai,13-04-2011,KTK,PW,KTK,bat,Dr DY Patil Sports Academy,PW,0,0,0,0,0,0
186,2011,Hyderabad,14-04-2011,DC,RCB,RCB,field,"Rajiv Gandhi International Stadium, Uppal",DC,0,0,0,0,0,0
