,Unnamed: 0,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
164,164,165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,0,0,16,14,1826,1314
165,165,166,2010,Dharamsala,16-04-2010,KXIP,DC,DC,field,Himachal Pradesh Cricket Association Stadium,DC,0,0,14,16,1433,1694
166,166,167,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,M Chinnaswamy Stadium,MI,0,0,16,16,1682,1802
167,167,168,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,Eden Gardens,KKR,0,0,14,14,1339,1222
168,168,169,2010,Dharamsala,18-04-2010,KXIP,CSK,CSK,field,Himachal Pradesh Cricket Association Stadium,CSK,0,0,14,16,1433,1826
169,169,170,2010,Delhi,18-04-2010,DC,DD,DC,bat,Feroz Shah Kotla,DC,0,0,16,14,1694,1314
170,170,171,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,Eden Gardens,KKR,0,0,16,14,1682,1222
171,171,172,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,Dr DY Patil Sports Academy,MI,0,0,16,16,1682,1802
172,172,173,2010,Mumbai,22-04-2010,CSK,DC,CSK,bat,Dr DY Patil Sports Academy,CSK,0,0,16,16,1826,1694
173,173,174,2010,Mumbai,24-04-2010,DC,RCB,DC,bat,Dr DY Patil Sports Academy,RCB,0,0,16,16,1694,1802
174,174,175,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,Dr DY Patil Sports Academy,CSK,0,0,16,16,1826,1682
175,175,176,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,15,1773,1541
176,176,177,2011,Hyderabad,09-04-2011,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",RR,0,0,14,13,1617,1188
177,177,178,2011,Kochi,09-04-2011,KTK,RCB,KTK,bat,Nehru Stadium,RCB,0,0,14,16,1338,1737
178,178,179,2011,Delhi,10-04-2011,DD,MI,DD,bat,Feroz Shah Kotla,MI,0,0,14,16,1350,1618
179,179,180,2011,Mumbai,10-04-2011,KXIP,PW,KXIP,bat,Dr DY Patil Sports Academy,PW,0,0,14,14,1624,1307
180,180,181,2011,Kolkata,11-04-2011,KKR,DC,KKR,bat,Eden Gardens,KKR,0,0,15,14,1541,1617
181,181,182,2011,Jaipur,12-04-2011,DD,RR,DD,bat,Sawai Mansingh Stadium,RR,0,0,14,13,1350,1188
182,182,183,2011,Bangalore,12-04-2011,RCB,MI,MI,field,M Chinnaswamy Stadium,MI,0,0,16,16,1737,1618
183,183,184,2011,Chandigarh,13-04-2011,CSK,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,16,14,1773,1624
184,184,185,2011,Mumbai,13-04-2011,KTK,PW,KTK,bat,Dr DY Patil Sports Academy,PW,0,0,14,14,1338,1307
185,185,186,2011,Hyderabad,14-04-2011,DC,RCB,RCB,field,"Rajiv Gandhi International Stadium, Uppal",DC,0,0,14,16,1617,1737
186,186,187,2011,Jaipur,15-04-2011,RR,KKR,KKR,field,Sawai Mansingh Stadium,KKR,0,0,13,15,1188,1541
187,187,188,2011,Mumbai,15-04-2011,MI,KTK,KTK,field,Wankhede Stadium,KTK,0,0,16,14,1618,1338
188,188,189,2011,Chennai,16-04-2011,CSK,RCB,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,16,1773,1737
