,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
170,171,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,Eden Gardens,away,105.125,87.28571429,16,14,1682,1222
171,172,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,Dr DY Patil Sports Academy,home,105.125,112.625,16,16,1682,1802
172,173,2010,Mumbai,22-04-2010,CSK,DC,CSK,bat,Dr DY Patil Sports Academy,home,114.125,105.875,16,16,1826,1694
173,174,2010,Mumbai,24-04-2010,DC,RCB,DC,bat,Dr DY Patil Sports Academy,away,105.875,112.625,16,16,1694,1802
174,175,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,Dr DY Patil Sports Academy,home,114.125,105.125,16,16,1826,1682
175,176,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chepauk",home,110.8125,102.7333333,16,15,1773,1541
176,177,2011,Hyderabad,09-04-2011,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",away,115.5,91.38461538,14,13,1617,1188
177,178,2011,Kochi,09-04-2011,KTK,RCB,KTK,bat,Nehru Stadium,away,95.57142857,108.5625,14,16,1338,1737
178,179,2011,Delhi,10-04-2011,DD,MI,DD,bat,Feroz Shah Kotla,away,96.42857143,101.125,14,16,1350,1618
179,180,2011,Mumbai,10-04-2011,KXIP,PW,KXIP,bat,Dr DY Patil Sports Academy,away,116.0,93.35714286,14,14,1624,1307
180,181,2011,Kolkata,11-04-2011,KKR,DC,KKR,bat,Eden Gardens,home,102.7333333,115.5,15,14,1541,1617
181,182,2011,Jaipur,12-04-2011,DD,RR,DD,bat,Sawai Mansingh Stadium,away,96.42857143,91.38461538,14,13,1350,1188
182,183,2011,Bangalore,12-04-2011,RCB,MI,MI,field,M Chinnaswamy Stadium,away,108.5625,101.125,16,16,1737,1618
183,184,2011,Chandigarh,13-04-2011,CSK,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",away,110.8125,116.0,16,14,1773,1624
184,185,2011,Mumbai,13-04-2011,KTK,PW,KTK,bat,Dr DY Patil Sports Academy,away,95.57142857,93.35714286,14,14,1338,1307
185,186,2011,Hyderabad,14-04-2011,DC,RCB,RCB,field,"Rajiv Gandhi International Stadium, Uppal",home,115.5,108.5625,14,16,1617,1737
186,187,2011,Jaipur,15-04-2011,RR,KKR,KKR,field,Sawai Mansingh Stadium,away,91.38461538,102.7333333,13,15,1188,1541
187,188,2011,Mumbai,15-04-2011,MI,KTK,KTK,field,Wankhede Stadium,away,101.125,95.57142857,16,14,1618,1338
188,189,2011,Chennai,16-04-2011,CSK,RCB,CSK,bat,"MA Chidambaram Stadium, Chepauk",home,110.8125,108.5625,16,16,1773,1737
189,190,2011,Hyderabad,16-04-2011,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",away,115.5,116.0,14,14,1617,1624
190,191,2011,Mumbai,17-04-2011,PW,DD,DD,field,Dr DY Patil Sports Academy,away,93.35714286,96.42857143,14,14,1307,1350
