id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
100,2009,Durban,14-05-2009,CSK,RCB,CSK,bat,Kingsmead,RCB,110.7142857,91.3125,14,16,1550,1461
101,2009,Durban,14-05-2009,RR,MI,RR,bat,Kingsmead,RR,91.61538462,110.2307692,13,13,1191,1433
102,2009,Bloemfontein,15-05-2009,DD,KXIP,KXIP,field,OUTsurance Oval,KXIP,93.26666667,89.78571429,15,14,1399,1257
103,2009,Port Elizabeth,16-05-2009,MI,CSK,MI,bat,St George's Park,CSK,110.2307692,110.7142857,13,14,1433,1550
104,2009,Johannesburg,16-05-2009,KKR,DC,DC,field,New Wanderers Stadium,DC,83.92307692,107.375,13,16,1091,1718
105,2009,Johannesburg,17-05-2009,KXIP,DC,DC,field,New Wanderers Stadium,KXIP,89.78571429,107.375,14,16,1257,1718
106,2009,Bloemfontein,17-05-2009,DD,RR,DD,bat,OUTsurance Oval,DD,93.26666667,91.61538462,15,13,1399,1191
107,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,SuperSport Park,KKR,110.7142857,83.92307692,14,13,1550,1091
108,2009,Johannesburg,19-05-2009,DD,RCB,DD,bat,New Wanderers Stadium,RCB,93.26666667,91.3125,15,16,1399,1461
109,2009,Durban,20-05-2009,RR,KKR,KKR,field,Kingsmead,KKR,91.61538462,83.92307692,13,13,1191,1091
110,2009,Durban,20-05-2009,CSK,KXIP,CSK,bat,Kingsmead,CSK,110.7142857,89.78571429,14,14,1550,1257
111,2009,Centurion,21-05-2009,MI,DD,DD,field,SuperSport Park,DD,110.2307692,93.26666667,13,15,1433,1399
112,2009,Centurion,21-05-2009,RCB,DC,RCB,bat,SuperSport Park,RCB,91.3125,107.375,16,16,1461,1718
113,2009,Centurion,22-05-2009,DD,DC,DC,field,SuperSport Park,DC,93.26666667,107.375,15,16,1399,1718
114,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,New Wanderers Stadium,RCB,110.7142857,91.3125,14,16,1550,1461
115,2009,Johannesburg,24-05-2009,DC,RCB,RCB,field,New Wanderers Stadium,DC,107.375,91.3125,16,16,1718,1461
116,2010,Mumbai,12-03-2010,KKR,DC,DC,field,Dr DY Patil Sports Academy,KKR,87.28571429,105.875,14,16,1222,1694
